instanta,instanta slug,api-slug,judet,tip,curte apel,link just-ro
Judecătoria PLOIEŞTI,JudecatoriaPLOIESTI,JudecatoriaPLOIESTI,PRAHOVA,jd,Curtea de Apel PLOIEŞTI,281
Judecătoria SINAIA,JudecatoriaSINAIA,JudecatoriaSINAIA,PRAHOVA,jd,Curtea de Apel PLOIEŞTI,310
Judecătoria VĂLENII DE MUNTE,JudecatoriaVaLENIIDEMUNTE,JudecatoriaVALENIIDEMUNTE,PRAHOVA,jd,Curtea de Apel PLOIEŞTI,331
Tribunalul DÂMBOVIŢA,TribunalulDAMBOVITA,TribunalulDAMBOVITA,DÂMBOVIŢA,tr,Curtea de Apel PLOIEŞTI,120
Judecătoria GĂEŞTI,JudecatoriaGaESTI,JudecatoriaGAESTI,DÂMBOVIŢA,jd,Curtea de Apel PLOIEŞTI,232
Judecătoria MORENI,JudecatoriaMORENI,JudecatoriaMORENI,DÂMBOVIŢA,jd,Curtea de Apel PLOIEŞTI,262
Judecătoria PUCIOASA,JudecatoriaPUCIOASA,JudecatoriaPUCIOASA,DÂMBOVIŢA,jd,Curtea de Apel PLOIEŞTI,283
Judecătoria RĂCARI,JudecatoriaRaCARI,JudecatoriaRACARI,DÂMBOVIŢA,jd,Curtea de Apel PLOIEŞTI,284
Judecătoria TÂRGOVIŞTE,JudecatoriaTARGOVISTE,JudecatoriaTARGOVISTE,DÂMBOVIŢA,jd,Curtea de Apel PLOIEŞTI,315
Curtea de Apel SUCEAVA,CurteadeApelSUCEAVA,CurteadeApelSUCEAVA,,ca,,39
Tribunalul BOTOŞANI,TribunalulBOTOSANI,TribunalulBOTOSANI,BOTOŞANI,tr,Curtea de Apel SUCEAVA,40
Judecătoria BOTOŞANI,JudecatoriaBOTOSANI,JudecatoriaBOTOSANI,BOTOŞANI,jd,Curtea de Apel SUCEAVA,193
Judecătoria Darabani,JudecatoriaDarabani,JudecatoriaDarabani,BOTOŞANI,jd,Curtea de Apel SUCEAVA,217
Judecătoria DOROHOI,JudecatoriaDOROHOI,JudecatoriaDOROHOI,BOTOŞANI,jd,Curtea de Apel SUCEAVA,222
Judecătoria SĂVENI,JudecatoriaSaVENI,JudecatoriaSAVENI,BOTOŞANI,jd,Curtea de Apel SUCEAVA,297
Tribunalul SUCEAVA,TribunalulSUCEAVA,TribunalulSUCEAVA,SUCEAVA,tr,Curtea de Apel SUCEAVA,86
Judecătoria CÂMPULUNG MOLDOVENESC,JudecatoriaCAMPULUNGMOLDOVENESC,JudecatoriaCAMPULUNGMOLDOVENESC,SUCEAVA,jd,Curtea de Apel SUCEAVA,206
Judecătoria FĂLTICENI,JudecatoriaFaLTICENI,JudecatoriaFALTICENI,SUCEAVA,jd,Curtea de Apel SUCEAVA,227
Judecătoria GURA HUMORULUI,JudecatoriaGURAHUMORULUI,JudecatoriaGURAHUMORULUI,SUCEAVA,jd,Curtea de Apel SUCEAVA,237
Judecătoria RĂDĂUŢI,JudecatoriaRaDaUTI,JudecatoriaRADAUTI,SUCEAVA,jd,Curtea de Apel SUCEAVA,285
Judecătoria SUCEAVA,JudecatoriaSUCEAVA,JudecatoriaSUCEAVA,SUCEAVA,jd,Curtea de Apel SUCEAVA,314
Judecătoria VATRA DORNEI,JudecatoriaVATRADORNEI,JudecatoriaVATRADORNEI,SUCEAVA,jd,Curtea de Apel SUCEAVA,334
Curtea de Apel TÂRGU MUREŞ,CurteadeApelTARGUMURES,CurteadeApelTARGUMURES,,ca,,43
Tribunalul HARGHITA,TribunalulHARGHITA,TribunalulHARGHITA,HARGHITA,tr,Curtea de Apel TÂRGU MUREŞ,96
Judecătoria GHEORGHENI,JudecatoriaGHEORGHENI,JudecatoriaGHEORGHENI,HARGHITA,jd,Curtea de Apel TÂRGU MUREŞ,234
Judecătoria MIERCUREA CIUC,JudecatoriaMIERCUREACIUC,JudecatoriaMIERCUREACIUC,HARGHITA,jd,Curtea de Apel TÂRGU MUREŞ,258
Judecătoria ODORHEIUL SECUIESC,JudecatoriaODORHEIULSECUIESC,JudecatoriaODORHEIULSECUIESC,HARGHITA,jd,Curtea de Apel TÂRGU MUREŞ,268
Judecătoria TOPLIŢA,JudecatoriaTOPLITA,JudecatoriaTOPLITA,HARGHITA,jd,Curtea de Apel TÂRGU MUREŞ,326
Tribunalul MUREŞ,TribunalulMURES,TribunalulMURES,MUREŞ,tr,Curtea de Apel TÂRGU MUREŞ,102
Tribunalul Specializat MUREŞ,TribunalulSpecializatMURES,#N/A,MUREŞ,ts,Curtea de Apel TÂRGU MUREŞ,1371
Judecătoria LUDUŞ,JudecatoriaLUDUS,JudecatoriaLUDUS,MUREŞ,jd,Curtea de Apel TÂRGU MUREŞ,251
