instanta,instanta slug,api-slug,judet,tip,curte apel,link just-ro
Tribunalul ILFOV,TribunalulILFOV,TribunalulILFOV,ILFOV,tr,Curtea de Apel BUCUREŞTI,93
Judecătoria BUFTEA,JudecatoriaBUFTEA,JudecatoriaBUFTEA,ILFOV,jd,Curtea de Apel BUCUREŞTI,94
Judecătoria CORNETU,JudecatoriaCORNETU,JudecatoriaCORNETU,ILFOV,jd,Curtea de Apel BUCUREŞTI,1748
Tribunalul TELEORMAN,TribunalulTELEORMAN,TribunalulTELEORMAN,TELEORMAN,tr,Curtea de Apel BUCUREŞTI,87
Judecătoria ROŞIORI DE VEDE,JudecatoriaROSIORIDEVEDE,JudecatoriaROSIORIDEVEDE,TELEORMAN,jd,Curtea de Apel BUCUREŞTI,292
Judecătoria TURNU MĂGURELE,JudecatoriaTURNUMaGURELE,JudecatoriaTURNUMAGURELE,TELEORMAN,jd,Curtea de Apel BUCUREŞTI,329
Judecătoria VIDELE,JudecatoriaVIDELE,JudecatoriaVIDELE,TELEORMAN,jd,Curtea de Apel BUCUREŞTI,335
Judecătoria ZIMNICEA,JudecatoriaZIMNICEA,JudecatoriaZIMNICEA,TELEORMAN,jd,Curtea de Apel BUCUREŞTI,339
Judecătoria ALEXANDRIA,JudecatoriaALEXANDRIA,JudecatoriaALEXANDRIA,TELEORMAN,jd,Curtea de Apel BUCUREŞTI,740
Curtea de Apel CLUJ,CurteadeApelCLUJ,CurteadeApelCLUJ,,ca,,33
Tribunalul BISTRIŢA NĂSĂUD,TribunalulBISTRITANaSaUD,TribunalulBISTRITANASAUD,BISTRIŢA NĂSĂUD,tr,Curtea de Apel CLUJ,112
Judecătoria BECLEAN,JudecatoriaBECLEAN,JudecatoriaBECLEAN,BISTRIŢA NĂSĂUD,jd,Curtea de Apel CLUJ,186
Judecătoria BISTRIŢA,JudecatoriaBISTRITA,JudecatoriaBISTRITA,BISTRIŢA NĂSĂUD,jd,Curtea de Apel CLUJ,190
Judecătoria NĂSĂUD,JudecatoriaNaSaUD,JudecatoriaNASAUD,BISTRIŢA NĂSĂUD,jd,Curtea de Apel CLUJ,265
Tribunalul CLUJ,TribunalulCLUJ,TribunalulCLUJ,CLUJ,tr,Curtea de Apel CLUJ,117
Tribunalul Militar CLUJ-NAPOCA,TribunalulMilitarCLUJNAPOCA,TribunalulMilitarCLUJNAPOCA,CLUJ,tm,Curtea de Apel CLUJ,752
Tribunalul Specializat CLUJ,TribunalulSpecializatCLUJ,#N/A,CLUJ,ts,Curtea de Apel CLUJ,1285
